Alternative1,Alternative2,Alternative3,Alternative4,Alternative5
,apache-commons,apache-jakarta-commons,,
commons-attributes,apache-commons-attributes,apache-jakarta-commons-attributes,apache-jakarta-commons-attribute,
commons-bcel,apache-commons-bcel,,,
commons-beanutils,apache-commons-beanutils,apache-jakarta-commons-beanutils,,
commons-betwixt,apache-commons-betwixt,apache-jakarta-commons-betwixt,,
commons-build-plugin,apache-commons-build-plugin,,,
commons-chain,apache-commons-chain,apache-jakarta-commons-chain,,
commons-cli,apache-commons-cli,apache-jakarta-commons-cli,,
commons-codec,apache-commons-codec,apache-jakarta-commons-codec,,
commons-collections,apache-commons-collections,apache-jakarta-commons-collections,apache-jakarta-commons-collectio,
commons-collections-testframework,apache-commons-collections-testframework,,,
commons-compress,apache-commons-compress,,,
commons-configuration,apache-commons-configuration,apache-jakarta-commons-configuration,apache-jakarta-commons-configura,
commons-crypto,apache-commons-crypto,,,
commons-csv,apache-commons-csv,,,
commons-daemon,apache-commons-daemon,apache-jakarta-commons-daemon,,
commons-dbcp,apache-commons-dbcp,apache-jakarta-commons-dbcp,,
commons-dbutils,apache-commons-dbutils,apache-jakarta-commons-dbutils,,
commons-digester,apache-commons-digester,apache-jakarta-commons-digester,,
commons-discovery,apache-commons-discovery,apache-jakarta-commons-discovery,,
commons-el,apache-commons-el,apache-jakarta-commons-el,,
commons-email,apache-commons-email,apache-jakarta-commons-email,,
commons-exec,apache-commons-exec,,,
commons-fileupload,apache-commons-fileupload,apache-jakarta-commons-fileupload,,
commons-httpclient,apache-commons-httpclient,apache-jakarta-commons-httpclient,apache-jakarta-commons-httpclien,
commons-imaging,apache-commons-imaging,,,
commons-io,apache-commons-io,apache-jakarta-commons-io,,
commons-jci,apache-commons-jci,,,
commons-jcs,apache-commons-jcs,,,
commons-jelly,apache-commons-jelly,apache-jakarta-commons-jelly,,
commons-jexl,apache-commons-jexl,apache-jakarta-commons-jexl,,
commons-jxpath,apache-commons-jxpath,apache-jakarta-commons-jxpath,,
commons-lang,apache-commons-lang,apache-jakarta-commons-lang,,
commons-lang3,apache-commons-lang3,,,
commons-launcher,apache-commons-launcher,apache-jakarta-commons-launcher,,
commons-logging,apache-commons-logging,apache-jakarta-commons-logging,,
commons-math,apache-commons-math,apache-jakarta-commons-math,,
commons-modeler,apache-commons-modeler,apache-jakarta-commons-modeler,,
commons-net,apache-commons-net,apache-jakarta-commons-net,,
commons-numbers,apache-commons-numbers,,,
commons-parent,apache-commons-parent,,,
commons-pool,apache-commons-pool,apache-jakarta-commons-pool,,
commons-primitives,apache-commons-primitives,apache-jakarta-commons-primitiv,apache-jakarta-commons-primitive,apache-jakarta-commons-primitives
commons-proxy,apache-commons-proxy,,,
commons-release-plugin,apache-commons-release-plugin,,,
commons-scxml,apache-commons-scxml,apache-jakarta-commons-scxml,,
commons-skin,apache-commons-skin,,,
commons-testing,apache-commons-testing,,,
commons-text,apache-commons-text,,,
commons-transaction,apache-commons-transaction,apache-jakarta-commons-transaction,,
commons-validator,apache-commons-validator,apache-jakarta-commons-validator,,
commons-vfs,apache-commons-vfs,apache-jakarta-commons-vfs,,
jackson,fasterxml-jackson,,,
jackson-annotations,fasterxml-jackson-annotations,,,
,fasterxml-jackson-benchmarks,,,
jackson-core,fasterxml-jackson-core,,,
jackson-core-asl,,gf.jackson-core-asl.jar,,
jackson-databind,fasterxml-jackson-databind,,,
jackson-dataformat-avro,fasterxml-jackson-dataformat-avro,,,
jackson-dataformat-cbor,fasterxml-jackson-dataformat-cbor,,,
jackson-dataformat-csv,fasterxml-jackson-dataformat-csv,,,
,fasterxml-jackson-dataformat-ini,,,
jackson-dataformat-properties,fasterxml-jackson-dataformat-properties,,,
jackson-dataformat-protobuf,fasterxml-jackson-dataformat-protobuf,,,
jackson-dataformat-smile,fasterxml-jackson-dataformat-smile,,,
,fasterxml-jackson-dataformat-thrift,,,
jackson-dataformat-xml,fasterxml-jackson-dataformat-xml,,,
jackson-dataformat-yaml,fasterxml-jackson-dataformat-yaml,,,
jackson-dataformats-binary,fasterxml-jackson-dataformats-binary,,,
jackson-dataformats-text,fasterxml-jackson-dataformats-text,,,
jackson-datatype-guava,fasterxml-jackson-datatype-guava,,,
jackson-datatype-hibernate,fasterxml-jackson-datatype-hibernate,,,
jackson-datatype-hppc,fasterxml-jackson-datatype-hppc,,,
jackson-datatype-jdk7,fasterxml-jackson-datatype-jdk7,,,
jackson-datatype-jdk8,fasterxml-jackson-datatype-jdk8,,,
jackson-datatype-joda,fasterxml-jackson-datatype-joda,,,
jackson-datatype-json-org,fasterxml-jackson-datatype-json-org,,,
jackson-datatype-jsr310,fasterxml-jackson-datatype-jsr310,,,
jackson-datatype-jsr353,fasterxml-jackson-datatype-jsr353,,,
jackson-datatypes-collections,fasterxml-jackson-datatypes-collections,,,
,fasterxml-jackson-docs,,,
jackson-jaxrs,,gf.jackson-jaxrs.jar,,
jackson-jaxrs-base,fasterxml-jackson-jaxrs-base,,,
jackson-jaxrs-json-provider,fasterxml-jackson-jaxrs-json-provider,,,
jackson-jaxrs-providers,fasterxml-jackson-jaxrs-providers,,,
jackson-jaxrs-smile-provider,fasterxml-jackson-jaxrs-smile-provider,,,
jackson-jaxrs-xml-provider,fasterxml-jackson-jaxrs-xml-provider,,,
,fasterxml-jackson-jr,,,
,fasterxml-jackson-jr-trees,,,
jackson-mapper-asl,,gf.jackson-mapper-asl.jar,,
jackson-module-afterburner,fasterxml-jackson-module-afterburner,,,
jackson-module-guice,fasterxml-jackson-module-guice,,,
jackson-module-hibernate,fasterxml-jackson-module-hibernate,,,
jackson-module-jaxb-annotations,fasterxml-jackson-module-jaxb-annotations,,,
jackson-module-json-org,fasterxml-jackson-module-json-org,,,
jackson-module-jsonschema,fasterxml-jackson-module-jsonschema,,,
jackson-module-kotlin,fasterxml-jackson-module-kotlin,,,
jackson-module-mrbean,fasterxml-jackson-module-mrbean,,,
jackson-module-osgi,fasterxml-jackson-module-osgi,,,
jackson-module-parameter-names,fasterxml-jackson-module-parameter-names,,,
jackson-module-paranamer,fasterxml-jackson-module-paranamer,,,
jackson-module-scala,fasterxml-jackson-module-scala,,,
jackson-module-shapeless_2.10,fasterxml-jackson-module-swagger,,,
jackson-module-swagger,fasterxml-jackson-modules-base,,,
jackson-module-unknown-property,fasterxml-jackson-modules-java8,,,
jackson-ou-126mail,fasterxml-jackson-parent,,,
jackson-parent,fasterxml-jackson-schema-maven-plugin,,,
